key,type1,type2,attributes/2,attributes/3,attributes/4,attributes/5,attributes/6,attributes/7,attributes/8,attributes/9,attributes/10,attributes/11,attributes/12,attributes/13,attributes/14,attributes/15,attributes/16,attributes/17,attributes/18,attributes/19,attributes/20,attributes/21,attributes/22,attributes/23,attributes/label,attributes/size,attributes/color
977,National Public Health Institute ,Finland,Research centers,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,National Public Health Institute ,14.40833,#b7e0d5
1157,National library of Finland,Finland,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,National library of Finland,14.40833,#b7e0d5
1202,The National Science Foundation,International,International,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,The National Science Foundation,14.40833,#08486b
238,Science Centre AHHAA,Estonia,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Science Centre AHHAA,13.981023,#d0e4a2
378,Bioteknolgia.info,Finland,Portal or other independent Websites,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bioteknolgia.info,13.981023,#b7e0d5
544,Duurzame-info.be,Belgium,Portal or other independent Websites,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duurzame-info.be,13.981023,#d99ea0
1598,University of Kuopio,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,University of Kuopio,13.981023,#b7e0d5
1637,Uniwersytet Śląski w Katowicach,Poland,Universities and secondary schools,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Uniwersytet Śląski w Katowicach,13.981023,#ecd078
319,American University in Bulgaria,Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,American University in Bulgaria,13.559535,#aad7a7
747,Futura Sciences / Magazine en ligne,France,Media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Futura Sciences / Magazine en ligne,13.559535,#c02943
1284,PIRAMK University of Applied Sciences,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIRAMK University of Applied Sciences,13.559535,#b7e0d5
1408,Site web,France,Policy makers and governmental organizations,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Site web,13.559535,#c02943
1541,Helsinki University of Technology,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Helsinki University of Technology,13.559535,#b7e0d5
53,Belgian Platform on Earth Observation,Belgium,Portal or other independent Websites,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgian Platform on Earth Observation,13.143973,#d99ea0
258,Les Amis de la Terre,France,NGO-CSO,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Les Amis de la Terre,13.143973,#c02943
313,Agricultural University – Plovdiv ,Bulgaria,Universities and Secondary schools,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agricultural University – Plovdiv ,13.143973,#aad7a7
741,Facultés Universitaires Catholiques de Mons,Belgium,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Facultés Universitaires Catholiques de Mons,13.143973,#d99ea0
1211,West-Hungarian University,Hungary,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,West-Hungarian University,13.143973,#744557
1542,Tallinn University,Estonia,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Tallinn University,13.143973,#d0e4a2
1617,St. Cyril and St. Methodius University of Veliko Tarnovo ,Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,St. Cyril and St. Methodius University of Veliko Tarnovo ,13.143973,#aad7a7
1626,Uniwersytet Rzeszowski,Poland,Universities and secondary schools,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Uniwersytet Rzeszowski,13.143973,#ecd078
669,Finnish Food Safety Authority ,Finland,Research centers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finnish Food Safety Authority ,12.734424,#b7e0d5
693,Fête de la science,France,Events/projects,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fête de la science,12.734424,#c02943
736,Finnish social science data archive,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finnish social science data archive,12.734424,#b7e0d5
1271, Gdansk University of Technology,Poland,Universities and secondary schools,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1, Gdansk University of Technology,12.734424,#ecd078
1293,Planète Sciences,France,Network of organizations,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Planète Sciences,12.734424,#c02943
1551,Federation of Finnish Learned Societies,Finland,NGO-CSO,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Federation of Finnish Learned Societies,12.734424,#b7e0d5
1640,Union of Scientists in Bulgaria,Bulgaria,NGO-CSO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Union of Scientists in Bulgaria,12.734424,#aad7a7
386,National Botanic Garden of Belgium,Belgium,Research centers,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Botanic Garden of Belgium,12.331002,#d99ea0
588,Estonian Express,Estonia,Media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estonian Express,12.331002,#d0e4a2
811,HEUREKA – The Finnish Science centre,Finland,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HEUREKA – The Finnish Science centre,12.331002,#b7e0d5
1015,State Nature Conservation Centre,Estonia,Policy makers and governmental organizations,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,State Nature Conservation Centre,12.331002,#d0e4a2
1171,National Evaluation and Accreditation Agency ,Bulgaria,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,National Evaluation and Accreditation Agency ,12.331002,#aad7a7
1553,Finnish Institute of Occupational Health ,Finland,Research centers,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Finnish Institute of Occupational Health ,12.331002,#b7e0d5
1632,Poznan University of Life Sciences,Poland,Universities and secondary schools,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poznan University of Life Sciences,12.331002,#ecd078
228,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,Poland,Universities and secondary schools,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,11.933816,#ecd078
243,Estonian Academy of Sciencese,Estonia,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Estonian Academy of Sciencese,11.933816,#d0e4a2
745,Faculté Universitaire des Sciences Agronomiques de Gembloux,Belgium,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faculté Universitaire des Sciences Agronomiques de Gembloux,11.933816,#d99ea0
831,Institu bruxellois pour la gestion de l'environnement,Belgium,Policy makers and governmental organizations,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Institu bruxellois pour la gestion de l'environnement,11.933816,#d99ea0
1594,Jagiellonian University in Krakow,Poland,Universities and secondary schools,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Jagiellonian University in Krakow,11.933816,#ecd078
1631,University of National and World Economy,Bulgaria,Universities and Secondary schools,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,University of National and World Economy,11.933816,#aad7a7
377,Finnish National Advisory Board on Biotechnology,Finland,Advisory bodies,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finnish National Advisory Board on Biotechnology,11.542974,#b7e0d5
409,Cap sciences - Bordeaux Aquitaine ,France,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Cap sciences - Bordeaux Aquitaine ,11.542974,#c02943
818,Horisont,Estonia,Media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horisont,11.542974,#d0e4a2
1159,Royal Belgian Institute of Natural Sciences,Belgium,Science centres and museums,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Royal Belgian Institute of Natural Sciences,11.542974,#d99ea0
1168,The National Board of Antiquities,Finland,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The National Board of Antiquities,11.542974,#b7e0d5
1250,Polish Academy of Sciences,Poland,Research centers,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,Polish Academy of Sciences,11.542974,#ecd078
1609,Nicolaus Copernicus University,Poland,Universities and secondary schools,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,Nicolaus Copernicus University,11.542974,#ecd078
142,HAMK University of Applied Sciences,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HAMK University of Applied Sciences,11.158604,#b7e0d5
209,Youth Academy Portal,Armenia,NGO-CSO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Youth Academy Portal,11.158604,#d95b43
595,ELTE – Eötvös Lorand University,Hungary,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,ELTE – Eötvös Lorand University,11.158604,#744557
603,EMIS,Belgium,Portal or other independent Websites,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,EMIS,11.158604,#d99ea0
649,Estonian Science Foundation,Estonia,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Estonian Science Foundation,11.158604,#d0e4a2
948,King Baudouin Foundation,Belgium,NGO-CSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,King Baudouin Foundation,11.158604,#d99ea0
1024,Naturetours,Estonia,Portal or other independent Websites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Naturetours,11.158604,#d0e4a2
1030,Lappeenranta University of Technology,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lappeenranta University of Technology,11.158604,#b7e0d5
1569,University of Szeged,Hungary,Universities and secondary schools,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,University of Szeged,11.158604,#744557
1584,University of Economics - Varna,Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,University of Economics - Varna,11.158604,#aad7a7
1615,D.A.Tsenov Academy of Economics ,Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,D.A.Tsenov Academy of Economics ,11.158604,#aad7a7
314,American University of Armenia,Armenia,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,American University of Armenia,10.78083,#d95b43
707,Finnish Literature society,Finland,NGO-CSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Finnish Literature society,10.78083,#b7e0d5
